From	Entry	Entry Name	Reviewed	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology IDs
NES08032.1	A0A846CUJ2	A0A846CUJ2_9CYAN	unreviewed	Nucleotidyltransferase family protein	F6K22_37790	Okeania sp. SIO2F4	129		
NJK69677.1	A0A7X6CGK3	A0A7X6CGK3_9CYAN	unreviewed	Phosphohydrolase	HC941_27025	Microcoleus sp. SU_5_3	189		
NEQ71738.1	A0A846A9N0	A0A846A9N0_9CYAN	unreviewed	Transposase	F6K23_00760	Okeania sp. SIO2C9	53		
NEP89771.1	A0A6P0NV56	A0A6P0NV56_9CYAN	unreviewed	DDE_3 domain-containing protein	F6K18_24700	Okeania sp. SIO2C2	79	nucleic acid binding [GO:0003676]	GO:0003676
NEP41632.1	A0A6M0C1Z8	A0A6M0C1Z8_9CYAN	unreviewed	Transposase	F6K35_21340	Okeania sp. SIO2H7	75		
OZH51784.1	A0A261KK25	A0A261KK25_9CYAN	unreviewed	Holin-like toxin	AFK68_28615	Hydrocoleum sp. CS-953	61	membrane [GO:0016020]	GO:0016020
NES07858.1	A0A846CYZ8	A0A846CYZ8_9CYAN	unreviewed	Helix-turn-helix domain-containing protein	F6K22_36775	Okeania sp. SIO2F4	80		
EDX74005.1	B4VW07	B4VW07_9CYAN	unreviewed	DUF772 domain-containing protein	MC7420_5885	Coleofasciculus chthonoplastes PCC 7420	157		
NEP46686.1	A0A6M0CAW8	A0A6M0CAW8_9CYAN	unreviewed	IS5/IS1182 family transposase	F6K35_48850	Okeania sp. SIO2H7	70		
NER04043.1	A0A6P0TX83	A0A6P0TX83_9CYAN	unreviewed	Transposase	F6K17_16190	Okeania sp. SIO3C4	72		
NEQ77123.1	A0A846APT8	A0A846APT8_9CYAN	unreviewed	VCBS repeat-containing protein	F6K23_31400	Okeania sp. SIO2C9	65		
NEO55090.1	A0A6L9ZS40	A0A6L9ZS40_9CYAN	unreviewed	Cadherin domain-containing protein	F6K54_19625	Okeania sp. SIO3B5	2877	membrane [GO:0016020]; calcium ion binding [GO:0005509]; cell communication [GO:0007154]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	GO:0005509; GO:0007154; GO:0007156; GO:0016020
NER01707.1	A0A6P0TKS1	A0A6P0TKS1_9CYAN	unreviewed	Lipase family protein	F6K17_03230	Okeania sp. SIO3C4	670	lipid metabolic process [GO:0006629]	GO:0006629
NER99309.1	A0A846BSL0	A0A846BSL0_9CYAN	unreviewed	NB-ARC domain-containing protein	F6J86_36735	Symploca sp. SIO1B1	528	ADP binding [GO:0043531]; catalytic activity [GO:0003824]; nucleoside metabolic process [GO:0009116]	GO:0003824; GO:0009116; GO:0043531
NER23983.1	A0A6P0V4L9	A0A6P0V4L9_9CYAN	unreviewed	Tetratricopeptide repeat protein	F6J96_25415	Symploca sp. SIO1C2	423		
NES69537.1	A0A6P0XRE9	A0A6P0XRE9_9CYAN	unreviewed	Beta-ketoacyl-ACP synthase	F6K24_32100	Okeania sp. SIO2D1	63	acyltransferase activity [GO:0016746]	GO:0016746
NES69147.1	A0A6P0XMS0	A0A6P0XMS0_9CYAN	unreviewed	AbrB family transcriptional regulator	F6K24_29930	Okeania sp. SIO2D1	349	membrane [GO:0016020]; regulation of gene expression [GO:0010468]	GO:0010468; GO:0016020
NEQ71906.1	A0A846AK46	A0A846AK46_9CYAN	unreviewed	Response regulator	F6K23_01710	Okeania sp. SIO2C9	583	"transferase activity, transferring phosphorus-containing groups [GO:0016772]; phosphorelay signal transduction system [GO:0000160]; phosphorylation [GO:0016310]"	GO:0000160; GO:0016310; GO:0016772
NEP78703.1	A0A845YZZ9	A0A845YZZ9_9CYAN	unreviewed	Response regulator	F6K39_11275	Okeania sp. SIO3B3	545	phosphorelay signal transduction system [GO:0000160]	GO:0000160
NEP83100.1	A0A845Z4J3	A0A845Z4J3_9CYAN	unreviewed	Transposase	F6K39_36145	Okeania sp. SIO3B3	76		
GCL36613.1	A0A479ZYR9	A0A479ZYR9_9CYAN	unreviewed	Transposase	SR1949_17180	Sphaerospermopsis reniformis	97	membrane [GO:0016020]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0016020
NET45264.1	A0A846GGQ4	A0A846GGQ4_9CYAN	unreviewed	Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA)	lipA F6K15_26745	Okeania sp. SIO2B3	300	"cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; lipoate synthase activity [GO:0016992]; metal ion binding [GO:0046872]; protein lipoylation [GO:0009249]"	GO:0005737; GO:0009249; GO:0016992; GO:0046872; GO:0051539
NET12917.1	A0A6P0Y953	A0A6P0Y953_9CYAN	unreviewed	IS4 family transposase	F6K08_08700	Okeania sp. SIO1H6	381	"DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]"	GO:0003677; GO:0004803; GO:0006313
NES06172.1	A0A846CPP2	A0A846CPP2_9CYAN	unreviewed	Transposase	F6K22_27220	Okeania sp. SIO2F4	139	"DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]"	GO:0003677; GO:0004803; GO:0006313
NES66210.1	A0A6P0XGV0	A0A6P0XGV0_9CYAN	unreviewed	DUF3800 domain-containing protein	F6K24_13560	Okeania sp. SIO2D1	119		
NNE26210.1	A0A7Y2BX08	A0A7Y2BX08_9BACT	unreviewed	Catalase-peroxidase	HKN09_05155	Saprospiraceae bacterium	375	catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]	GO:0004096; GO:0006979; GO:0020037; GO:0042744; GO:0046872
OZH55366.1	A0A261KVH1	A0A261KVH1_9CYAN	unreviewed	Lipoprotein	AFK68_05120	Hydrocoleum sp. CS-953	87	membrane [GO:0016020]	GO:0016020
NEP89905.1	A0A6P0NZK5	A0A6P0NZK5_9CYAN	unreviewed	Type I site-specific deoxyribonuclease	F6K18_25485	Okeania sp. SIO2C2	189		
NEO58747.1	A0A6M0A2P3	A0A6M0A2P3_9CYAN	unreviewed	Helix-turn-helix domain-containing protein	F6K54_40385	Okeania sp. SIO3B5	185		
NEP80943.1	A0A845Z6Q3	A0A845Z6Q3_9CYAN	unreviewed	IS200/IS605 family element transposase accessory protein TnpB	tnpB F6K39_23930	Okeania sp. SIO3B3	408	DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; DNA recombination [GO:0006310]; transposition [GO:0032196]	GO:0003677; GO:0004519; GO:0006310; GO:0032196; GO:0046872
NER31588.1	A0A6B3NQR7	A0A6B3NQR7_9CYAN	unreviewed	Methionine synthase	F6J89_29220	Symploca sp. SIO1C4	402	cobalamin binding [GO:0031419]; metal ion binding [GO:0046872]; methionine synthase activity [GO:0008705]; methylation [GO:0032259]	GO:0008705; GO:0031419; GO:0032259; GO:0046872
NEP39867.1	A0A6M0BVB4	A0A6M0BVB4_9CYAN	unreviewed	IS1 family transposase	F6K35_11745	Okeania sp. SIO2H7	75		
EEY31938.1	A0A7U8KDU9	A0A7U8KDU9_BRUSS	unreviewed	Ovule protein	BAFG_03211	Brucella suis bv. 3 str. 686	77		
BAT25402.1	A0A0P0YVL6	A0A0P0YVL6_9HYPH	unreviewed	Uncharacterized protein		Aureimonas altamirensis	104		
NEO55130.1	A0A6L9ZS82	A0A6L9ZS82_9CYAN	unreviewed	Sulfotransferase	F6K54_19855	Okeania sp. SIO3B5	117	sulfotransferase activity [GO:0008146]	GO:0008146
NEN99215.1	A0A6P0IMQ7	A0A6P0IMQ7_9CYAN	unreviewed	IS630 family transposase	F6K50_28160	Moorena sp. SIO3I7	356	nucleic acid binding [GO:0003676]	GO:0003676
NEO56587.1	A0A6L9ZWQ5	A0A6L9ZWQ5_9CYAN	unreviewed	Phage protein	F6K54_28045	Okeania sp. SIO3B5	89		
NEQ73315.1	A0A846AEV8	A0A846AEV8_9CYAN	unreviewed	RNA-directed DNA polymerase	F6K23_09670	Okeania sp. SIO2C9	353	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964
NES74155.1	A0A6P0Y474	A0A6P0Y474_9CYAN	unreviewed	IS630 family transposase	F6K24_57710	Okeania sp. SIO2D1	106		
NET41522.1	A0A846FYV7	A0A846FYV7_9CYAN	unreviewed	Ovule protein	F6K15_06140	Okeania sp. SIO2B3	92		
NEN87732.1	A0A6P0HQW7	A0A6P0HQW7_9CYAN	unreviewed	Transposase	F6K48_01885	Okeania sp. SIO3H1	297	metal ion binding [GO:0046872]	GO:0046872
NEQ36960.1	A0A6P0RAR8	A0A6P0RAR8_9CYAN	unreviewed	Phosphatidate cytidylyltransferase	F6K40_12020	Okeania sp. SIO3I5	67	membrane [GO:0016020]	GO:0016020
NEQ39600.1	A0A6P0RJ61	A0A6P0RJ61_9CYAN	unreviewed	RNA-dependent DNA polymerase	F6K40_26430	Okeania sp. SIO3I5	226		
NEQ75640.1	A0A846ART6	A0A846ART6_9CYAN	unreviewed	IS1 family transposase	F6K23_22875	Okeania sp. SIO2C9	125		
NES03645.1	A0A846C567	A0A846C567_9CYAN	unreviewed	Guanine deaminase (Guanase) (EC 3.5.4.3) (Guanine aminohydrolase)	guaD F6K22_12800	Okeania sp. SIO2F4	436	guanine deaminase activity [GO:0008892]; zinc ion binding [GO:0008270]; guanine catabolic process [GO:0006147]	GO:0006147; GO:0008270; GO:0008892
NEP79827.1	A0A845YZF9	A0A845YZF9_9CYAN	unreviewed	Lectin_legB domain-containing protein	F6K39_17630	Okeania sp. SIO3B3	371	calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]	GO:0005509; GO:0030246
NEN93206.1	A0A6P0I806	A0A6P0I806_9CYAN	unreviewed	Formylglycine-generating enzyme family protein	F6K48_31705	Okeania sp. SIO3H1	292		
NET25264.1	A0A6M0FD51	A0A6M0FD51_9CYAN	unreviewed	Methyltransferase domain-containing protein	F6K01_07330	Okeania sp. SIO1I7	465	methyltransferase activity [GO:0008168]; methylation [GO:0032259]	GO:0008168; GO:0032259
NES66539.1	A0A6P0XHM0	A0A6P0XHM0_9CYAN	unreviewed	Delta-aminolevulinic acid dehydratase (EC 4.2.1.24) (Porphobilinogen synthase)	F6K24_15410	Okeania sp. SIO2D1	63	metal ion binding [GO:0046872]; porphobilinogen synthase activity [GO:0004655]; protoporphyrinogen IX biosynthetic process [GO:0006782]	GO:0004655; GO:0006782; GO:0046872
GBR75858.1	A0A388TFL9	A0A388TFL9_9BACT	unreviewed	Uncharacterized protein	NO2_0490	Candidatus Termititenax persephonae	198		
NES05952.1	A0A846CP47	A0A846CP47_9CYAN	unreviewed	Group II intron reverse transcriptase/maturase (EC 2.7.7.49)	ltrA F6K22_25990	Okeania sp. SIO2F4	499	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964
NET29960.1	A0A6M0FRL7	A0A6M0FRL7_9CYAN	unreviewed	DUF3854 domain-containing protein	F6K01_33035	Okeania sp. SIO1I7	1082	ATP binding [GO:0005524]; DNA replication origin binding [GO:0003688]; DNA replication [GO:0006260]	GO:0003688; GO:0005524; GO:0006260
NES03870.1	A0A846C586	A0A846C586_9CYAN	unreviewed	Peptidylprolyl isomerase	F6K22_14085	Okeania sp. SIO2F4	106	membrane [GO:0016020]	GO:0016020
PCI94385.1	A0A2A4YJ92	A0A2A4YJ92_9FLAO	unreviewed	RNA polymerase subunit sigma-70	COB15_14420	Flavobacteriales bacterium	190	DNA binding [GO:0003677]; sigma factor activity [GO:0016987]; DNA-templated transcription initiation [GO:0006352]	GO:0003677; GO:0006352; GO:0016987
PCJ26191.1	A0A2A5B4D1	A0A2A5B4D1_9FLAO	unreviewed	PKD domain-containing protein	COA97_06500	Flavobacteriales bacterium	425	membrane [GO:0016020]	GO:0016020
NET44708.1	A0A846G929	A0A846G929_9CYAN	unreviewed	Transposase	F6K15_23745	Okeania sp. SIO2B3	65		
OZH54711.1	A0A261KUA5	A0A261KUA5_9CYAN	unreviewed	Transposase	AFK68_09215	Hydrocoleum sp. CS-953	143		
NES69213.1	A0A6P0XPL2	A0A6P0XPL2_9CYAN	unreviewed	NAD(P)-binding protein	F6K24_30280	Okeania sp. SIO2D1	225	oxidoreductase activity [GO:0016491]	GO:0016491
NEQ40625.1	A0A6P0RHV4	A0A6P0RHV4_9CYAN	unreviewed	RQC domain-containing protein	F6K40_32120	Okeania sp. SIO3I5	135		
NER06346.1	A0A6P0U8K5	A0A6P0U8K5_9CYAN	unreviewed	Transposase	F6K17_29075	Okeania sp. SIO3C4	195		
NET45602.1	A0A846G9R6	A0A846G9R6_9CYAN	unreviewed	RDD domain-containing protein	F6K15_28600	Okeania sp. SIO2B3	291	membrane [GO:0016020]	GO:0016020
NET45660.1	A0A846GDU5	A0A846GDU5_9CYAN	unreviewed	FHA domain-containing protein	F6K15_28905	Okeania sp. SIO2B3	689		
PCJ01497.1	A0A2A4Z3A2	A0A2A4Z3A2_9FLAO	unreviewed	Type III pantothenate kinase (EC 2.7.1.33) (PanK-III) (Pantothenic acid kinase)	coaX COB15_00835	Flavobacteriales bacterium	283	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; pantothenate kinase activity [GO:0004594]; coenzyme A biosynthetic process [GO:0015937]; phosphorylation [GO:0016310]	GO:0004594; GO:0005524; GO:0005737; GO:0015937; GO:0016310; GO:0046872
NEQ37106.1	A0A6P0R837	A0A6P0R837_9CYAN	unreviewed	histidine kinase (EC 2.7.13.3)	F6K40_12855	Okeania sp. SIO3I5	570	membrane [GO:0016020]; phosphorelay sensor kinase activity [GO:0000155]	GO:0000155; GO:0016020
NEQ35251.1	A0A6P0R2M2	A0A6P0R2M2_9CYAN	unreviewed	Type III pantothenate kinase (EC 2.7.1.33) (PanK-III) (Pantothenic acid kinase)	coaX F6K40_02580	Okeania sp. SIO3I5	264	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; pantothenate kinase activity [GO:0004594]; coenzyme A biosynthetic process [GO:0015937]; phosphorylation [GO:0016310]	GO:0004594; GO:0005524; GO:0005737; GO:0015937; GO:0016310; GO:0046872
ARX95943.1	A0A1Z1XAQ8	A0A1Z1XAQ8_9FLOR	unreviewed	Uncharacterized protein	orf64	Thorea hispida	64	chloroplast [GO:0009507]	GO:0009507
NES05130.1	A0A846C8L6	A0A846C8L6_9CYAN	unreviewed	"RNA polymerase sigma factor, RpoD/SigA family"	F6K22_21260	Okeania sp. SIO2F4	384	DNA binding [GO:0003677]; sigma factor activity [GO:0016987]; DNA-templated transcription initiation [GO:0006352]	GO:0003677; GO:0006352; GO:0016987
NES01458.1	A0A846CFW7	A0A846CFW7_9CYAN	unreviewed	Class I SAM-dependent methyltransferase	F6K22_00520	Okeania sp. SIO2F4	272	methyltransferase activity [GO:0008168]; methylation [GO:0032259]	GO:0008168; GO:0032259
NEQ39760.1	A0A6P0RJM9	A0A6P0RJM9_9CYAN	unreviewed	AarF/ABC1/UbiB kinase family protein	F6K40_27335	Okeania sp. SIO3I5	551	membrane [GO:0016020]; kinase activity [GO:0016301]; phosphorylation [GO:0016310]	GO:0016020; GO:0016301; GO:0016310
NEN93483.1	A0A6P0I8Q4	A0A6P0I8Q4_9CYAN	unreviewed	Transposase	F6K48_33230	Okeania sp. SIO3H1	103		
CAC5344275.1	A0A6J7ZKA9	A0A6J7ZKA9_PLARU	unreviewed	Uncharacterized protein	PLAN_40690	Planktothrix rubescens NIVA-CYA 18	77		
NES64069.1	A0A6P0XAD2	A0A6P0XAD2_9CYAN	unreviewed	IS5 family transposase	F6K24_01800	Okeania sp. SIO2D1	245	"DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]"	GO:0003677; GO:0004803; GO:0006313
OLT61045.1	A0A1U7N534	A0A1U7N534_9CYAN	unreviewed	IS630 family transposase	BJP37_20530	Moorena bouillonii PNG	218		
CCE18235.1	H1WFA3	H1WFA3_9CYAN	unreviewed	Sulfite reductase subunit alpha	ARTHRO_340007	Limnospira indica PCC 8005	53		
EAZ91388.1	A3IQ48	A3IQ48_9CHRO	unreviewed	Transposase	CY0110_05442	Crocosphaera chwakensis CCY0110	166		
CUM61472.1	A0A1J1JIX1	A0A1J1JIX1_PLAAG	unreviewed	Uncharacterized protein	PLAM_3506	Planktothrix agardhii (Oscillatoria agardhii)	73		
PYO01228.1	A0A2V7E2R7	A0A2V7E2R7_9BACT	unreviewed	Methyltransf_21 domain-containing protein	DMD91_08555	Candidatus Rokubacteria bacterium	302		
MBV09293.1	A0A2E9VNI4	A0A2E9VNI4_9PLAN	unreviewed	Glycosyl transferase family 25	CMN21_08760	Rubinisphaera sp	473	sulfotransferase activity [GO:0008146]	GO:0008146
HBU43293.1	A0A358DBE1	A0A358DBE1_9MICO	unreviewed	Phage tail tape measure protein	DEB57_10545	Microbacterium sp	780	membrane [GO:0016020]	GO:0016020
QDV85470.1	A0A518L615	A0A518L615_9BACT	unreviewed	Phage virion morphogenesis family protein	TBK1r_44840	Planctomycetes bacterium TBK1r	185		
MAT51132.1	A0A2E0VI72	A0A2E0VI72_9GAMM	unreviewed	Phage tail protein	CMK32_08115	Porticoccaceae bacterium	120		
NES66652.1	A0A6P0XHV7	A0A6P0XHV7_9CYAN	unreviewed	IS200/IS605 family element transposase accessory protein TnpB	tnpB F6K24_16020	Okeania sp. SIO2D1	204	DNA binding [GO:0003677]; DNA recombination [GO:0006310]; transposition [GO:0032196]	GO:0003677; GO:0006310; GO:0032196
NEP85700.1	A0A6P0NKR6	A0A6P0NKR6_9CYAN	unreviewed	Transcriptional regulator	F6K18_02040	Okeania sp. SIO2C2	57		
