From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology IDs
WP_011644233.1	Q0AMA5	unreviewed	Q0AMA5_MARMM	Transcriptional regulator, CarD family	Mmar10_2296	Maricaulis maris (strain MCS10)	169		
WP_063823346.1	A0A3N6NI68	unreviewed	A0A3N6NI68_9CYAN	Cytochrome b6-f complex subunit 7 (Cytochrome b6-f complex subunit PetM) (Cytochrome b6-f complex subunit VII)	petM D5R40_18225	Okeania hirsuta	33	cytochrome b6f complex [GO:0009512]; plasma membrane-derived thylakoid membrane [GO:0031676]; electron transfer activity [GO:0009055]; photosynthesis [GO:0015979]	GO:0009055; GO:0009512; GO:0015979; GO:0031676
WP_074309256.1	A0A1N6J035	unreviewed	A0A1N6J035_9BACT	Holliday junction resolvase	SAMN05444166_4208	Singulisphaera sp. GP187	120		
WP_075189825.1	A0A1Q8FVF9	unreviewed	A0A1Q8FVF9_9PROT	Probable branched-chain-amino-acid aminotransferase	AWH62_04680	Maricaulis sp. W15	281	transaminase activity [GO:0008483]	GO:0008483
WP_075191541.1	A0A1Q8FHQ3	unreviewed	A0A1Q8FHQ3_9PROT	Ribonucleoside-diphosphate reductase subunit beta (EC 1.17.4.1)	AWH62_13360	Maricaulis sp. W15	344	metal ion binding [GO:0046872]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]; deoxyribonucleotide biosynthetic process [GO:0009263]; DNA replication [GO:0006260]	GO:0004748; GO:0006260; GO:0009263; GO:0046872
WP_075191541.1	A0A495D386	unreviewed	A0A495D386_9PROT	Ribonucleoside-diphosphate reductase subunit beta (EC 1.17.4.1)	C7435_2446	Maricaulis maris	344	metal ion binding [GO:0046872]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]; deoxyribonucleotide biosynthetic process [GO:0009263]; DNA replication [GO:0006260]	GO:0004748; GO:0006260; GO:0009263; GO:0046872
WP_075188509.1	A0A1Q8G0K6	unreviewed	A0A1Q8G0K6_9PROT	NAD-dependent dehydratase	AWH62_00520	Maricaulis sp. W15	402		
WP_075188509.1	A0A495DL37	unreviewed	A0A495DL37_9PROT	UDP-sulfoquinovose synthase	C7435_0062	Maricaulis maris	402		
WP_011642462.1	Q0ASC2	unreviewed	Q0ASC2_MARMM	UrcA family protein	Mmar10_0522	Maricaulis maris (strain MCS10)	105		
WP_011644503.1	Q0ALI4	unreviewed	Q0ALI4_MARMM	Short-chain dehydrogenase/reductase SDR	Mmar10_2573	Maricaulis maris (strain MCS10)	267	oxidoreductase activity [GO:0016491]	GO:0016491
WP_011644502.1	Q0ALI5	unreviewed	Q0ALI5_MARMM	Tetratricopeptide TPR_2 repeat protein	Mmar10_2572	Maricaulis maris (strain MCS10)	288		
WP_011642328.1	Q0ASQ6	unreviewed	Q0ASQ6_MARMM	Type II secretion system protein K	Mmar10_0388	Maricaulis maris (strain MCS10)	333	plasma membrane [GO:0005886]; protein secretion [GO:0009306]	GO:0005886; GO:0009306
WP_011644876.1	Q0AKG1	unreviewed	Q0AKG1_MARMM	YkuD domain-containing protein	Mmar10_2951	Maricaulis maris (strain MCS10)	170	transferase activity [GO:0016740]	GO:0016740
WP_043918387.1	A0A0D1EM51	unreviewed	A0A0D1EM51_9RHOB	PaaZ protein	paaZ jaqu_15680	Jannaschia aquimarina	675	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]	GO:0016620
WP_075190182.1	A0A1Q8FRN6	unreviewed	A0A1Q8FRN6_9PROT	Carboxymethylenebutenolidase	AWH62_06355	Maricaulis sp. W15	232	hydrolase activity [GO:0016787]	GO:0016787
WP_075190182.1	A0A495D4B8	unreviewed	A0A495D4B8_9PROT	Carboxymethylenebutenolidase	C7435_2066	Maricaulis maris	232	hydrolase activity [GO:0016787]	GO:0016787
WP_011642521.1	Q0AS63	unreviewed	Q0AS63_MARMM	RNA polymerase, sigma-24 subunit, RpoE	Mmar10_0581	Maricaulis maris (strain MCS10)	187	DNA binding [GO:0003677]; sigma factor activity [GO:0016987]; DNA-templated transcription initiation [GO:0006352]	GO:0003677; GO:0006352; GO:0016987
WP_011642482.1	Q0ASA2	unreviewed	Q0ASA2_MARMM	Acetyl-CoA acetyltransferase (EC 2.3.1.16)	Mmar10_0542	Maricaulis maris (strain MCS10)	401	acetyl-CoA C-acyltransferase activity [GO:0003988]	GO:0003988
WP_075190675.1	A0A1Q8FLJ9	unreviewed	A0A1Q8FLJ9_9PROT	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG AWH62_08750	Maricaulis sp. W15	294	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP phosphoribosyltransferase activity [GO:0003879]; magnesium ion binding [GO:0000287]; histidine biosynthetic process [GO:0000105]	GO:0000105; GO:0000287; GO:0003879; GO:0005524; GO:0005737
WP_075190504.1	A0A1Q8FNY2	unreviewed	A0A1Q8FNY2_9PROT	DUF2145 domain-containing protein	AWH62_07995	Maricaulis sp. W15	263		
WP_011644018.1	Q0AMW4	reviewed	MRAY_MARMM	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	mraY Mmar10_2081	Maricaulis maris (strain MCS10)	367	plasma membrane [GO:0005886]; metal ion binding [GO:0046872]; phospho-N-acetylmuramoyl-pentapeptide-transferase activity [GO:0008963]; UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase activity [GO:0051992]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	GO:0005886; GO:0007049; GO:0008360; GO:0008963; GO:0009252; GO:0046872; GO:0051301; GO:0051992; GO:0071555
WP_011644958.1	Q0AK79	reviewed	MIAB_MARMM	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase (EC 2.8.4.3) ((Dimethylallyl)adenosine tRNA methylthiotransferase MiaB) (tRNA-i(6)A37 methylthiotransferase)	miaB Mmar10_3033	Maricaulis maris (strain MCS10)	456	cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; methylthiotransferase activity [GO:0035596]; tRNA modification [GO:0006400]	GO:0005737; GO:0006400; GO:0035596; GO:0046872; GO:0051539
WP_011644578.1	Q0ALA9	unreviewed	Q0ALA9_MARMM	Choline/carnitine/betaine transporter	Mmar10_2648	Maricaulis maris (strain MCS10)	534	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; nitrogen compound transport [GO:0071705]	GO:0005886; GO:0022857; GO:0071705
WP_011644532.1	Q0ALF5	unreviewed	Q0ALF5_MARMM	Flp pilus assembly protein TadG	Mmar10_2602	Maricaulis maris (strain MCS10)	500	membrane [GO:0016020]	GO:0016020
WP_011645001.1	Q0AK36	unreviewed	Q0AK36_MARMM	Short chain enoyl-CoA hydratase (EC 4.2.1.17)	Mmar10_3078	Maricaulis maris (strain MCS10)	258	enoyl-CoA hydratase activity [GO:0004300]	GO:0004300
WP_075190905.1	A0A1Q8FJP6	unreviewed	A0A1Q8FJP6_9PROT	Sulfotransferase family protein	AWH62_09950	Maricaulis sp. W15	476		
WP_075190905.1	A0A495D1K1	unreviewed	A0A495D1K1_9PROT	Sulfotransferase family protein	C7435_3077	Maricaulis maris	476		
WP_075190776.1	A0A1Q8FLU0	unreviewed	A0A1Q8FLU0_9PROT	Diguanylate cyclase response regulator	pleD AWH62_09330	Maricaulis sp. W15	454	phosphorelay signal transduction system [GO:0000160]	GO:0000160
WP_075188921.1	A0A1Q8G1V4	unreviewed	A0A1Q8G1V4_9PROT	protein-glutamate O-methyltransferase (EC 2.1.1.80)	AWH62_02830	Maricaulis sp. W15	278	S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]; methylation [GO:0032259]	GO:0008757; GO:0032259
WP_075188921.1	A0A495DMA6	unreviewed	A0A495DMA6_9PROT	protein-glutamate O-methyltransferase (EC 2.1.1.80)	C7435_0478	Maricaulis maris	278	S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]; methylation [GO:0032259]	GO:0008757; GO:0032259
WP_075189277.1	A0A1Q8FYV4	unreviewed	A0A1Q8FYV4_9PROT	Thioesterase	AWH62_15155	Maricaulis sp. W15	158		
WP_011642970.1	Q0AQW4	unreviewed	Q0AQW4_MARMM	Phosphoribosylformylglycinamidine synthase subunit PurQ (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit I) (FGAR amidotransferase I) (FGAR-AT I) (Glutaminase PurQ) (EC 3.5.1.2) (Phosphoribosylformylglycinamidine synthase subunit I)	purQ Mmar10_1030	Maricaulis maris (strain MCS10)	220	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glutaminase activity [GO:0004359]; phosphoribosylformylglycinamidine synthase activity [GO:0004642]; 'de novo' IMP biosynthetic process [GO:0006189]; glutamine metabolic process [GO:0006541]	GO:0004359; GO:0004642; GO:0005524; GO:0005737; GO:0006189; GO:0006541
WP_011644585.1	Q0ALA2	unreviewed	Q0ALA2_MARMM	DUF3089 domain-containing protein	Mmar10_2655	Maricaulis maris (strain MCS10)	378		
WP_075189307.1	A0A1Q8FYY6	unreviewed	A0A1Q8FYY6_9PROT	Transcriptional regulator	AWH62_15345	Maricaulis sp. W15	334	outer membrane-bounded periplasmic space [GO:0030288]	GO:0030288
WP_075189307.1	A0A495DCF6	unreviewed	A0A495DCF6_9PROT	Holdfast attachment protein HfaB	C7435_1204	Maricaulis maris	334	outer membrane-bounded periplasmic space [GO:0030288]	GO:0030288
WP_011643891.1	Q0AN91	unreviewed	Q0AN91_MARMM	Flagellar basal-body protein FlbY	Mmar10_1954	Maricaulis maris (strain MCS10)	149		
WP_075191350.1	A0A1Q8FI62	unreviewed	A0A1Q8FI62_9PROT	Multidrug ABC transporter ATP-binding protein	AWH62_12320	Maricaulis sp. W15	295	ATP binding [GO:0005524]	GO:0005524
WP_011642428.1	Q0ASF6	unreviewed	Q0ASF6_MARMM	Hsp33 protein	Mmar10_0488	Maricaulis maris (strain MCS10)	309	cytoplasm [GO:0005737]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]	GO:0005737; GO:0006457; GO:0051082
WP_075190975.1	A0A1Q8FJX1	unreviewed	A0A1Q8FJX1_9PROT	DNA-binding protein	AWH62_10370	Maricaulis sp. W15	88	DNA binding [GO:0003677]; structural constituent of chromatin [GO:0030527]	GO:0003677; GO:0030527
WP_075190975.1	A0A495D1B5	unreviewed	A0A495D1B5_9PROT	DNA-binding protein HU-beta	C7435_2988	Maricaulis maris	88	DNA binding [GO:0003677]; structural constituent of chromatin [GO:0030527]	GO:0003677; GO:0030527
WP_075188915.1	A0A1Q8G1W1	unreviewed	A0A1Q8G1W1_9PROT	Peptidase M23	AWH62_02800	Maricaulis sp. W15	485		
WP_075190648.1	A0A1Q8FLJ0	unreviewed	A0A1Q8FLJ0_9PROT	VWFA domain-containing protein	AWH62_08605	Maricaulis sp. W15	994	membrane [GO:0016020]	GO:0016020
WP_075190798.1	A0A1Q8FM29	unreviewed	A0A1Q8FM29_9PROT	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)	gatA AWH62_09455	Maricaulis sp. W15	491	glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956]; ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]; transferase activity [GO:0016740]; translation [GO:0006412]	GO:0005524; GO:0006412; GO:0016740; GO:0030956; GO:0050567
WP_075190798.1	A0A495DME7	unreviewed	A0A495DME7_9PROT	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)	gatA C7435_1056	Maricaulis maris	491	glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956]; ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]; transferase activity [GO:0016740]; translation [GO:0006412]	GO:0005524; GO:0006412; GO:0016740; GO:0030956; GO:0050567
WP_011641981.1	Q0ATQ3	reviewed	GPDA_MARMM	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase)	gpsA Mmar10_0038	Maricaulis maris (strain MCS10)	333	glycerol-3-phosphate dehydrogenase complex [GO:0009331]; glycerol-3-phosphate dehydrogenase [NAD(P)+] activity [GO:0047952]; NAD binding [GO:0051287]; carbohydrate metabolic process [GO:0005975]; glycerol-3-phosphate biosynthetic process [GO:0046167]; glycerol-3-phosphate catabolic process [GO:0046168]; glycerophospholipid metabolic process [GO:0006650]; phospholipid biosynthetic process [GO:0008654]	GO:0005975; GO:0006650; GO:0008654; GO:0009331; GO:0046167; GO:0046168; GO:0047952; GO:0051287
WP_075189137.1	A0A1Q8FZ88	unreviewed	A0A1Q8FZ88_9PROT	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase)	gpsA AWH62_14445	Maricaulis sp. W15	333	glycerol-3-phosphate dehydrogenase complex [GO:0009331]; glycerol-3-phosphate dehydrogenase [NAD(P)+] activity [GO:0047952]; NAD binding [GO:0051287]; carbohydrate metabolic process [GO:0005975]; glycerol-3-phosphate biosynthetic process [GO:0046167]; glycerol-3-phosphate catabolic process [GO:0046168]; glycerophospholipid metabolic process [GO:0006650]; phospholipid biosynthetic process [GO:0008654]	GO:0005975; GO:0006650; GO:0008654; GO:0009331; GO:0046167; GO:0046168; GO:0047952; GO:0051287
WP_075191349.1	A0A1Q8FI61	unreviewed	A0A1Q8FI61_9PROT	Peptidase_M1 domain-containing protein	AWH62_12315	Maricaulis sp. W15	1200	membrane [GO:0016020]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]	GO:0008237; GO:0008270; GO:0016020
WP_075188850.1	A0A1Q8G1Q3	unreviewed	A0A1Q8G1Q3_9PROT	MobA_MobL domain-containing protein	AWH62_02440	Maricaulis sp. W15	135		
WP_075188850.1	A0A495DM07	unreviewed	A0A495DM07_9PROT	MobA_MobL domain-containing protein	C7435_0400	Maricaulis maris	135		
WP_075190619.1	A0A1Q8FLE6	unreviewed	A0A1Q8FLE6_9PROT	TRAP transporter small permease protein	AWH62_08445	Maricaulis sp. W15	259	plasma membrane [GO:0005886]	GO:0005886
WP_011642500.1	Q0AS84	unreviewed	Q0AS84_MARMM	Acyltransferase 3	Mmar10_0560	Maricaulis maris (strain MCS10)	370	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]	GO:0016747
WP_075190251.1	A0A1Q8FS86	unreviewed	A0A1Q8FS86_9PROT	Ribosome maturation factor RimP	rimP AWH62_06750	Maricaulis sp. W15	178	cytoplasm [GO:0005737]; ribosomal small subunit biogenesis [GO:0042274]	GO:0005737; GO:0042274
WP_075190251.1	A0A495D4K9	unreviewed	A0A495D4K9_9PROT	Ribosome maturation factor RimP	rimP C7435_2145	Maricaulis maris	178	cytoplasm [GO:0005737]; ribosomal small subunit biogenesis [GO:0042274]	GO:0005737; GO:0042274
WP_011643680.1	Q0ANV3	unreviewed	Q0ANV3_MARMM	Magnesium transporter MgtE	Mmar10_1742	Maricaulis maris (strain MCS10)	463	plasma membrane [GO:0005886]; magnesium ion transmembrane transporter activity [GO:0015095]; metal ion binding [GO:0046872]	GO:0005886; GO:0015095; GO:0046872
WP_011643211.1	Q0AQ73	unreviewed	Q0AQ73_MARMM	Endoribonuclease L-PSP	Mmar10_1272	Maricaulis maris (strain MCS10)	153		
WP_075189180.1	A0A1Q8FZC9	unreviewed	A0A1Q8FZC9_9PROT	TolC family protein	AWH62_14685	Maricaulis sp. W15	416	efflux transmembrane transporter activity [GO:0015562]	GO:0015562
WP_011642285.1	Q0ASU9	unreviewed	Q0ASU9_MARMM	Nitrite/sulfite reductase, hemoprotein beta-component, ferrodoxin domain protein	Mmar10_0345	Maricaulis maris (strain MCS10)	545	4 iron, 4 sulfur cluster binding [GO:0051539]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]	GO:0016491; GO:0020037; GO:0046872; GO:0051539
WP_075189127.1	A0A1Q8FZ80	unreviewed	A0A1Q8FZ80_9PROT	Dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	rlmN AWH62_14390	Maricaulis sp. W15	399	cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; rRNA (adenine-C2-)-methyltransferase activity [GO:0070040]; rRNA binding [GO:0019843]; tRNA (adenine-C2-)-methyltransferase activity [GO:0002935]; tRNA binding [GO:0000049]; rRNA base methylation [GO:0070475]	GO:0000049; GO:0002935; GO:0005737; GO:0019843; GO:0046872; GO:0051539; GO:0070040; GO:0070475
WP_011642619.1	Q0ARW5	unreviewed	Q0ARW5_MARMM	Cobyrinic acid a,c-diamide synthase	Mmar10_0679	Maricaulis maris (strain MCS10)	266		
WP_011644939.1	Q0AK98	reviewed	Y3014_MARMM	UPF0102 protein Mmar10_3014	Mmar10_3014	Maricaulis maris (strain MCS10)	127	nucleic acid binding [GO:0003676]	GO:0003676
WP_011644749.1	Q0AKT8	unreviewed	Q0AKT8_MARMM	Dioxygenase (EC 1.13.11.-)	Mmar10_2824	Maricaulis maris (strain MCS10)	504	metal ion binding [GO:0046872]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]	GO:0016702; GO:0046872
WP_067294948.1	A0A196NVR8	unreviewed	A0A196NVR8_9RHOB	Benzoyl-CoA oxygenase/reductase, BoxA protein	A8B82_20420	Sulfitobacter sp. EhC04	392	iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]	GO:0016491; GO:0046872; GO:0051536
WP_011644043.1	Q0AMT9	unreviewed	Q0AMT9_MARMM	Dipeptidyl-peptidase IV, Serine peptidase, MEROPS family S09B (EC 3.4.14.5)	Mmar10_2106	Maricaulis maris (strain MCS10)	751	dipeptidyl-peptidase activity [GO:0008239]; serine-type peptidase activity [GO:0008236]; proteolysis [GO:0006508]	GO:0006508; GO:0008236; GO:0008239
WP_011642019.1	Q0ATL5	unreviewed	Q0ATL5_MARMM	PTS system fructose subfamily IIA component	Mmar10_0076	Maricaulis maris (strain MCS10)	135	kinase activity [GO:0016301]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; phosphorylation [GO:0016310]	GO:0009401; GO:0016301; GO:0016310
WP_075191468.1	A0A1Q8FIJ1	unreviewed	A0A1Q8FIJ1_9PROT	histidine kinase (EC 2.7.13.3)	AWH62_12990	Maricaulis sp. W15	540	membrane [GO:0016020]; phosphorelay sensor kinase activity [GO:0000155]	GO:0000155; GO:0016020
WP_075188504.1	A0A1Q8G0L5	unreviewed	A0A1Q8G0L5_9PROT	VWFA domain-containing protein	AWH62_00495	Maricaulis sp. W15	519	membrane [GO:0016020]	GO:0016020
WP_075188504.1	A0A495DLV0	unreviewed	A0A495DLV0_9PROT	Flp pilus assembly protein TadG	C7435_0057	Maricaulis maris	519	membrane [GO:0016020]	GO:0016020
WP_075190890.1	A0A1Q8FME0	unreviewed	A0A1Q8FME0_9PROT	ATP-dependent Clp protease ATP-binding subunit ClpA	clpA AWH62_09280	Maricaulis sp. W15	769	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; peptidase activity [GO:0008233]; protein unfolding [GO:0043335]; proteolysis [GO:0006508]	GO:0005524; GO:0006508; GO:0008233; GO:0016887; GO:0043335
WP_011643345.1	Q0APT9	unreviewed	Q0APT9_MARMM	Response regulator receiver protein	Mmar10_1406	Maricaulis maris (strain MCS10)	348	phosphorelay signal transduction system [GO:0000160]	GO:0000160
WP_075191307.1	A0A1Q8FJC2	unreviewed	A0A1Q8FJC2_9PROT	Long-chain acyl-CoA synthetase	AWH62_12140	Maricaulis sp. W15	597		
WP_011644603.1	Q0AL84	unreviewed	Q0AL84_MARMM	Short-chain dehydrogenase/reductase SDR	Mmar10_2673	Maricaulis maris (strain MCS10)	253	oxidoreductase activity [GO:0016491]	GO:0016491
WP_011642935.1	Q0AQZ9	unreviewed	Q0AQZ9_MARMM	Transmembrane protein	Mmar10_0995	Maricaulis maris (strain MCS10)	233		
WP_075190712.1	A0A1Q8FLR7	unreviewed	A0A1Q8FLR7_9PROT	8-amino-7-ketopelargonate synthase (EC 2.3.1.47)	AWH62_08970	Maricaulis sp. W15	392	8-amino-7-oxononanoate synthase activity [GO:0008710]; pyridoxal phosphate binding [GO:0030170]; biotin biosynthetic process [GO:0009102]	GO:0008710; GO:0009102; GO:0030170
WP_011644438.1	Q0ALP9	unreviewed	Q0ALP9_MARMM	TonB-dependent receptor, plug	Mmar10_2508	Maricaulis maris (strain MCS10)	1015	cell outer membrane [GO:0009279]	GO:0009279
WP_075188686.1	A0A1Q8G194	unreviewed	A0A1Q8G194_9PROT	Pilus assembly protein	AWH62_01515	Maricaulis sp. W15	179	membrane [GO:0016020]	GO:0016020
WP_075188686.1	A0A495DLG2	unreviewed	A0A495DLG2_9PROT	Flp pilus assembly protein TadG	C7435_0215	Maricaulis maris	179	membrane [GO:0016020]	GO:0016020
WP_011642314.1	Q0ASS0	unreviewed	Q0ASS0_MARMM	UPF0056 inner membrane protein	Mmar10_0374	Maricaulis maris (strain MCS10)	214	plasma membrane [GO:0005886]	GO:0005886
WP_075191363.1	A0A1Q8FI68	unreviewed	A0A1Q8FI68_9PROT	Autotransporter secretion inner membrane protein TamB	AWH62_12385	Maricaulis sp. W15	1362	membrane [GO:0016020]; protein secretion [GO:0009306]	GO:0009306; GO:0016020
WP_075189402.1	A0A1Q8FWF8	unreviewed	A0A1Q8FWF8_9PROT	HlyC/CorC family transporter	AWH62_15800	Maricaulis sp. W15	428	membrane [GO:0016020]; flavin adenine dinucleotide binding [GO:0050660]	GO:0016020; GO:0050660
WP_075189860.1	A0A1Q8FVS1	unreviewed	A0A1Q8FVS1_9PROT	FAD assembly factor SdhE	AWH62_04875	Maricaulis sp. W15	97		
WP_011643197.1	Q0AQ87	reviewed	SYDND_MARMM	Aspartate--tRNA(Asp/Asn) ligase (EC 6.1.1.23) (Aspartyl-tRNA synthetase) (AspRS) (Non-discriminating aspartyl-tRNA synthetase) (ND-AspRS)	aspS Mmar10_1258	Maricaulis maris (strain MCS10)	605	cytoplasm [GO:0005737]; aspartate-tRNA ligase activity [GO:0004815]; aspartate-tRNA(Asn) ligase activity [GO:0050560]; ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]; aspartyl-tRNA aminoacylation [GO:0006422]	GO:0003676; GO:0004815; GO:0005524; GO:0005737; GO:0006422; GO:0050560
WP_075189735.1	A0A1Q8FV69	unreviewed	A0A1Q8FV69_9PROT	Cytochrome C biogenesis protein CcmF	AWH62_04170	Maricaulis sp. W15	662	plasma membrane [GO:0005886]; heme binding [GO:0020037]; heme transmembrane transporter activity [GO:0015232]; cytochrome complex assembly [GO:0017004]	GO:0005886; GO:0015232; GO:0017004; GO:0020037
WP_011644469.1	Q0ALL8	unreviewed	Q0ALL8_MARMM	Two component, sigma54 specific, transcriptional regulator, Fis family	Mmar10_2539	Maricaulis maris (strain MCS10)	487	ATP binding [GO:0005524]; sequence-specific DNA binding [GO:0043565]; phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]	GO:0000160; GO:0005524; GO:0006355; GO:0043565
