gene_id,KO_id,KO_acc,GO_IDs,GO_terms
2607584721,2607584721,MCL2935461.1,GO:0006493;GO:0005515;GO:0008375;GO:0140096;GO:0006486;GO:0006807;GO:0008152;GO:0009058;GO:0009059;GO:0009100;GO:0009101;GO:0009987;GO:0019538;GO:0034645;GO:0036211;GO:0043170;GO:0043412;GO:0043413;GO:0044237;GO:0044238;GO:0044249;GO:0044260;GO:0070085;GO:0071704;GO:1901135;GO:1901137;GO:1901564;GO:1901566;GO:1901576;GO:0003824;GO:0008194;GO:0016740;GO:0016757;GO:0016758,"protein O-linked glycosylation;protein binding;acetylglucosaminyltransferase activity;catalytic activity, acting on a protein;protein glycosylation;nitrogen compound metabolic process;metabolic process;biosynthetic process;macromolecule biosynthetic process;glycoprotein metabolic process;glycoprotein biosynthetic process;cellular process;protein metabolic process;cellular macromolecule biosynthetic process;protein modification process;macromolecule metabolic process;macromolecule modification;macromolecule glycosylation;cellular metabolic process;primary metabolic process;cellular biosynthetic process;cellular macromolecule metabolic process;glycosylation;organic substance metabolic process;carbohydrate derivative metabolic process;carbohydrate derivative biosynthetic process;organonitrogen compound metabolic process;organonitrogen compound biosynthetic process;organic substance biosynthetic process;catalytic activity;UDP-glycosyltransferase activity;transferase activity;glycosyltransferase activity;hexosyltransferase activity"
2607584737,2607584737,NEP90094.1,GO:0003676,nucleic acid binding
2607584747,2607584747,MBS9772671.1,GO:0006353,DNA-templated transcription termination
2607584775,2607584775,Q11A09.1,GO:0005506;GO:0016765;GO:0016841;GO:0051539;GO:0003824;GO:0016740;GO:0051536,"iron ion binding;transferase activity, transferring alkyl or aryl (other than methyl) groups;ammonia-lyase activity;4 iron, 4 sulfur cluster binding;catalytic activity;transferase activity;iron-sulfur cluster binding"
2607584776,2607584776,MCH2047296.1,GO:0046906;GO:0005488;GO:0097159;GO:1901363,tetrapyrrole binding;binding;organic cyclic compound binding;heterocyclic compound binding
2607584780,2607584780,MCH2047292.1,GO:0046906;GO:0005488;GO:0097159;GO:1901363,tetrapyrrole binding;binding;organic cyclic compound binding;heterocyclic compound binding
2607584786,2607584786,MCH2047288.1,GO:0006468;GO:0004672;GO:0005515;GO:0005524,protein phosphorylation;protein kinase activity;protein binding;ATP binding
2607584793,2607584793,MBS9770799.1,GO:0009435;GO:0008734,NAD biosynthetic process;L-aspartate oxidase activity
2607584805,2607584805,MBS9768954.1,GO:0003824,catalytic activity
2607584813,2607584813,MBS9769204.1,GO:0008146,sulfotransferase activity
2607584820,2607584820,MBS9769198.1,GO:0019318;GO:0005524;GO:0016773;GO:0019200;GO:0005829;GO:0005975;GO:0005996;GO:0008152;GO:0044238;GO:0044281;GO:0071704;GO:0003824;GO:0016301;GO:0016740;GO:0016772;GO:0005622;GO:0005737;GO:0110165,"hexose metabolic process;ATP binding;phosphotransferase activity, alcohol group as acceptor;carbohydrate kinase activity;cytosol;carbohydrate metabolic process;monosaccharide metabolic process;metabolic process;primary metabolic process;small molecule metabolic process;organic substance metabolic process;catalytic activity;kinase activity;transferase activity;transferase activity, transferring phosphorus-containing groups;intracellular anatomical structure;cytoplasm;cellular anatomical entity"
2607584823,2607584823,MBS9769195.1,GO:0000976;GO:0001217;GO:0032993;GO:0001067;GO:0003676;GO:0003677;GO:0003690;GO:0003700;GO:0005488;GO:0043565;GO:0097159;GO:0140110;GO:1901363;GO:1990837;GO:0032991,transcription cis-regulatory region binding;DNA-binding transcription repressor activity;protein-DNA complex;transcription regulatory region nucleic acid binding;nucleic acid binding;DNA binding;double-stranded DNA binding;DNA-binding transcription factor activity;binding;sequence-specific DNA binding;organic cyclic compound binding;transcription regulator activity;heterocyclic compound binding;sequence-specific double-stranded DNA binding;protein-containing complex
2607584827,2607584827,NES73403.1,GO:0006310;GO:0032196;GO:0003677,DNA recombination;transposition;DNA binding
2607584829,2607584829,MBS9769191.1,GO:0003824;GO:0051536,catalytic activity;iron-sulfur cluster binding
2607584830,2607584830,MBS9769190.1,GO:0006468;GO:0004672,protein phosphorylation;protein kinase activity
2607584834,2607584834,MBS9769187.1,GO:0003755,peptidyl-prolyl cis-trans isomerase activity
2607584846,2607584846,MBS9769175.1,GO:0016209;GO:0016491,antioxidant activity;oxidoreductase activity
2607584860,2607584860,MBS9770899.1,GO:0005515,protein binding
2607584862,2607584862,MBS9770898.1,GO:0006468;GO:0004672;GO:0005524,protein phosphorylation;protein kinase activity;ATP binding
2607584863,2607584863,MBS9770897.1,GO:0006596;GO:0006576;GO:0006807;GO:0008152;GO:0009058;GO:0009308;GO:0009987;GO:0034641;GO:0044237;GO:0044249;GO:0044271;GO:0071704;GO:1901564;GO:1901566;GO:1901576,polyamine biosynthetic process;biogenic amine metabolic process;nitrogen compound metabolic process;metabolic process;biosynthetic process;amine metabolic process;cellular process;cellular nitrogen compound metabolic process;cellular metabolic process;cellular biosynthetic process;cellular nitrogen compound biosynthetic process;organic substance metabolic process;organonitrogen compound metabolic process;organonitrogen compound biosynthetic process;organic substance biosynthetic process
2607584864,2607584864,MBS9770896.1,GO:0032259;GO:0003723;GO:0008170;GO:0008173;GO:0008757;GO:0003676;GO:0003824;GO:0008168;GO:0016740;GO:0016741;GO:0140098;GO:0140640,"methylation;RNA binding;N-methyltransferase activity;RNA methyltransferase activity;S-adenosylmethionine-dependent methyltransferase activity;nucleic acid binding;catalytic activity;methyltransferase activity;transferase activity;transferase activity, transferring one-carbon groups;catalytic activity, acting on Rcatalytic activity, acting on a nucleic acid"
2607584865,2607584865,MBS9770895.1,GO:0008610;GO:0008168,lipid biosynthetic process;methyltransferase activity
2607584869,2607584869,MBS9770889.1,GO:0004222;GO:0003824;GO:0004175;GO:0008233;GO:0008237;GO:0016787;GO:0140096,"metalloendopeptidase activity;catalytic activity;endopeptidase activity;peptidase activity;metallopeptidase activity;hydrolase activity;catalytic activity, acting on a protein"
2607584870,2607584870,MBS9770888.1,GO:0016763;GO:0005886;GO:0003824;GO:0016740;GO:0016757;GO:0016020;GO:0071944;GO:0110165,pentosyltransferase activity;plasma membrane;catalytic activity;transferase activity;glycosyltransferase activity;membrane;cell periphery;cellular anatomical entity
2607584872,2607584872,MBS9770886.1,GO:0016787,hydrolase activity
2607584886,2607584886,MBS9770638.1,GO:0016020;GO:0031224;GO:0110165,membrane;obsolete intrinsic component of membrane;cellular anatomical entity
2607584889,2607584889,MBS9770635.1,GO:0055085;GO:0022857;GO:0016020,transmembrane transport;transmembrane transporter activity;membrane
2607584890,2607584890,MBS9770634.1,GO:0006790;GO:0008146;GO:0005737;GO:0008152;GO:0009987;GO:0044237;GO:0003824;GO:0016740;GO:0005622;GO:0110165,sulfur compound metabolic process;sulfotransferase activity;cytoplasm;metabolic process;cellular process;cellular metabolic process;catalytic activity;transferase activity;intracellular anatomical structure;cellular anatomical entity
2607584891,2607584891,MBS9770633.1,GO:0016614;GO:0050660,"oxidoreductase activity, acting on CH-OH group of donors;flavin adenine dinucleotide binding"
2607584897,2607584897,MBS9770627.1,GO:0044255;GO:0016298;GO:0052689;GO:0006629;GO:0008152;GO:0009987;GO:0044237;GO:0044238;GO:0071704;GO:0003824;GO:0016787;GO:0016788,"cellular lipid metabolic process;lipase activity;carboxylic ester hydrolase activity;lipid metabolic process;metabolic process;cellular process;cellular metabolic process;primary metabolic process;organic substance metabolic process;catalytic activity;hydrolase activity;hydrolase activity, acting on ester bonds"
2607584906,2607584906,WP_006100142.1,GO:0003676,nucleic acid binding
2607584907,2607584907,WP_006097775.1,GO:0003676,nucleic acid binding
2607584908,2607584908,MBS9770959.1,GO:0005515,protein binding
2607584916,2607584916,MBS9770969.1,GO:0000413;GO:0006457;GO:0003755;GO:0003824;GO:0016853;GO:0140096,"protein peptidyl-prolyl isomerization;protein folding;peptidyl-prolyl cis-trans isomerase activity;catalytic activity;isomerase activity;catalytic activity, acting on a protein"
2607584917,2607584917,MBS9770970.1,GO:0010181,FMN binding
2607584936,2607584936,MBS9772900.1,GO:0005515,protein binding
2607584940,2607584940,MBS9770976.1,GO:0016020,membrane
2607584941,2607584941,MCL2926895.1,GO:0051537,"2 iron, 2 sulfur cluster binding"
2607584942,2607584942,MCL2926896.1,GO:0010277,chlorophyllide a oxygenase [overall] activity
2607584950,2607584950,MBS9770983.1,GO:0009435;GO:0070566;GO:0005737;GO:0009058;GO:0003824;GO:0016740;GO:0016772;GO:0016779;GO:0005622;GO:0110165,"NAD biosynthetic process;adenylyltransferase activity;cytoplasm;biosynthetic process;catalytic activity;transferase activity;transferase activity, transferring phosphorus-containing groups;nucleotidyltransferase activity;intracellular anatomical structure;cellular anatomical entity"
2607584951,2607584951,MBS9770984.1,GO:0003677,DNA binding
2607584963,2607584963,MBS9770995.1,GO:0005886;GO:0016020;GO:0071944;GO:0110165,plasma membrane;membrane;cell periphery;cellular anatomical entity
2607584966,2607584966,MBS9770998.1,GO:0030655;GO:0046677;GO:0008800;GO:0017001,beta-lactam antibiotic catabolic process;response to antibiotic;beta-lactamase activity;antibiotic catabolic process
2607584975,2607584975,WAN69938.1,GO:0016740,transferase activity
2607584988,2607584988,MBS9771016.1,GO:0005507;GO:0016491;GO:0005886;GO:0030288;GO:0003824;GO:0016020;GO:0030313;GO:0031975;GO:0042597;GO:0071944;GO:0110165,copper ion binding;oxidoreductase activity;plasma membrane;outer membrane-bounded periplasmic space;catalytic activity;membrane;cell envelope;envelope;periplasmic space;cell periphery;cellular anatomical entity
2607584994,2607584994,MBS9771021.1,GO:0008168,methyltransferase activity
2607585001,2607585001,MBS9771028.1,GO:0016020;GO:0031224;GO:0110165,membrane;obsolete intrinsic component of membrane;cellular anatomical entity
2607585010,2607585010,MBS9771034.1,GO:0009306;GO:0071806;GO:0008320;GO:0032991;GO:0006810;GO:0008104;GO:0009987;GO:0015031;GO:0032940;GO:0033036;GO:0035592;GO:0045184;GO:0046903;GO:0051179;GO:0051234;GO:0055085;GO:0071692;GO:0071702;GO:0071705;GO:0140352;GO:0005215;GO:0022857,protein secretion;protein transmembrane transport;protein transmembrane transporter activity;protein-containing complex;transport;protein localization;cellular process;protein transport;secretion by cell;macromolecule localization;establishment of protein localization to extracellular region;establishment of protein localization;secretion;localization;establishment of localization;transmembrane transport;protein localization to extracellular region;organic substance transport;nitrogen compound transport;export from cell;transporter activity;transmembrane transporter activity
2607585012,2607585012,MBS9771036.1,GO:0005515,protein binding
2607585014,2607585014,MBS9771038.1,GO:0006508;GO:0004197,proteolysis;cysteine-type endopeptidase activity
2607585016,2607585016,MBS9771040.1,GO:0005515;GO:0030515;GO:0016020;GO:0032040;GO:0034455;GO:0003676;GO:0003723;GO:0005488;GO:0097159;GO:1901363;GO:0005622;GO:0005634;GO:0005730;GO:0030684;GO:0031974;GO:0031981;GO:0032991;GO:0043226;GO:0043227;GO:0043228;GO:0043229;GO:0043231;GO:0043232;GO:0043233;GO:0070013;GO:0110165;GO:0140513;GO:1990904,protein binding;snoRNA binding;membrane;small-subunit processome;t-UTP complex;nucleic acid binding;RNA binding;binding;organic cyclic compound binding;heterocyclic compound binding;intracellular anatomical structure;nucleus;nucleolus;preribosome;membrane-enclosed lumen;nuclear lumen;protein-containing complex;organelle;membrane-bounded organelle;non-membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;organelle lumen;intracellular organelle lumen;cellular anatomical entity;nuclear protein-containing complex;ribonucleoprotein complex
2607585022,2607585022,MBS9771046.1,GO:0005975;GO:0003824;GO:0030246,carbohydrate metabolic process;catalytic activity;carbohydrate binding
2607585036,2607585036,MBS9770398.1,GO:0008863;GO:0030151;GO:0043546;GO:0051539;GO:0016491,"formate dehydrogenase (NAD+) activity;molybdenum ion binding;molybdopterin cofactor binding;4 iron, 4 sulfur cluster binding;oxidoreductase activity"
2607585055,2607585055,WP_202224652.1,GO:0004462;GO:0046872,lactoylglutathione lyase activity;metal ion binding
2607585077,2607585077,WP_006097775.1,GO:0003676,nucleic acid binding
2607585080,2607585080,MBS9769447.1,GO:0005829;GO:0005622;GO:0005737;GO:0110165,cytosol;intracellular anatomical structure;cytoplasm;cellular anatomical entity
2607585089,2607585089,MBS9769440.1,GO:0005829;GO:0005622;GO:0005737;GO:0110165,cytosol;intracellular anatomical structure;cytoplasm;cellular anatomical entity
2607585090,2607585090,MBS9769439.1,GO:0006508;GO:0004252;GO:0003824;GO:0004175;GO:0008233;GO:0008236;GO:0016787;GO:0017171;GO:0140096,"proteolysis;serine-type endopeptidase activity;catalytic activity;endopeptidase activity;peptidase activity;serine-type peptidase activity;hydrolase activity;serine hydrolase activity;catalytic activity, acting on a protein"
2607585091,2607585091,MBS9769438.1,GO:0043161;GO:0005524;GO:0016887;GO:0005838;GO:0006508;GO:0006511;GO:0006807;GO:0008152;GO:0009056;GO:0009057;GO:0009987;GO:0010498;GO:0019538;GO:0019941;GO:0030163;GO:0043170;GO:0043632;GO:0044237;GO:0044238;GO:0044248;GO:0044260;GO:0044265;GO:0051603;GO:0071704;GO:1901564;GO:1901565;GO:1901575;GO:0003824;GO:0016462;GO:0016787;GO:0016817;GO:0016818;GO:0017111;GO:0140657;GO:0000502;GO:0005622;GO:0022624;GO:0032991;GO:0110165;GO:0140535;GO:1902494;GO:1905368;GO:1905369,"proteasome-mediated ubiquitin-dependent protein catabolic process;ATP binding;ATP hydrolysis activity;proteasome regulatory particle;proteolysis;ubiquitin-dependent protein catabolic process;nitrogen compound metabolic process;metabolic process;catabolic process;macromolecule catabolic process;cellular process;proteasomal protein catabolic process;protein metabolic process;modification-dependent protein catabolic process;protein catabolic process;macromolecule metabolic process;modification-dependent macromolecule catabolic process;cellular metabolic process;primary metabolic process;cellular catabolic process;cellular macromolecule metabolic process;cellular macromolecule catabolic process;proteolysis involved in protein catabolic process;organic substance metabolic process;organonitrogen compound metabolic process;organonitrogen compound catabolic process;organic substance catabolic process;catalytic activity;pyrophosphatase activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;ribonucleoside triphosphate phosphatase activity;ATP-dependent activity;proteasome complex;intracellular anatomical structure;proteasome accessory complex;protein-containing complex;cellular anatomical entity;intracellular protein-containing complex;catalytic complex;peptidase complex;endopeptidase complex"
2607585100,2607585100,MBS9769430.1,GO:0008270,zinc ion binding
2607585101,2607585101,MBS9769429.1,GO:0016616;GO:0005737;GO:0003824;GO:0016491;GO:0005622;GO:0110165,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;cytoplasm;catalytic activity;oxidoreductase activity;intracellular anatomical structure;cellular anatomical entity"
2607585103,2607585103,MBS9769426.1,GO:0006468;GO:0004672;GO:0005524,protein phosphorylation;protein kinase activity;ATP binding
2607585104,2607585104,MBS9769426.1,GO:0006468;GO:0004672;GO:0005524,protein phosphorylation;protein kinase activity;ATP binding
2607585105,2607585105,MBS9769425.1,GO:0006468;GO:0004672;GO:0005524,protein phosphorylation;protein kinase activity;ATP binding
2607585106,2607585106,MBS9769424.1,GO:0006468;GO:0004672;GO:0005524,protein phosphorylation;protein kinase activity;ATP binding
2607585115,2607585115,MBS9772221.1,GO:0005976;GO:0009225;GO:0034654;GO:1901137;GO:0016779;GO:0006139;GO:0006725;GO:0006807;GO:0008152;GO:0009058;GO:0009987;GO:0018130;GO:0019438;GO:0034641;GO:0044237;GO:0044238;GO:0044249;GO:0044271;GO:0044281;GO:0046483;GO:0055086;GO:0071704;GO:1901135;GO:1901360;GO:1901362;GO:1901576;GO:0003824;GO:0016740;GO:0016772,"polysaccharide metabolic process;nucleotide-sugar metabolic process;nucleobase-containing compound biosynthetic process;carbohydrate derivative biosynthetic process;nucleotidyltransferase activity;nucleobase-containing compound metabolic process;cellular aromatic compound metabolic process;nitrogen compound metabolic process;metabolic process;biosynthetic process;cellular process;heterocycle biosynthetic process;aromatic compound biosynthetic process;cellular nitrogen compound metabolic process;cellular metabolic process;primary metabolic process;cellular biosynthetic process;cellular nitrogen compound biosynthetic process;small molecule metabolic process;heterocycle metabolic process;nucleobase-containing small molecule metabolic process;organic substance metabolic process;carbohydrate derivative metabolic process;organic cyclic compound metabolic process;organic cyclic compound biosynthetic process;organic substance biosynthetic process;catalytic activity;transferase activity;transferase activity, transferring phosphorus-containing groups"
2607585116,2607585116,MBS9772220.1,GO:0016226;GO:0051604;GO:0005506;GO:0051536;GO:0006790;GO:0006807;GO:0008152;GO:0009987;GO:0010467;GO:0016043;GO:0019538;GO:0022607;GO:0043170;GO:0044085;GO:0044237;GO:0044238;GO:0071704;GO:0071840;GO:1901564;GO:0005488;GO:0043167;GO:0043169;GO:0046872;GO:0046914,iron-sulfur cluster assembly;protein maturation;iron ion binding;iron-sulfur cluster binding;sulfur compound metabolic process;nitrogen compound metabolic process;metabolic process;cellular process;gene expression;cellular component organization;protein metabolic process;cellular component assembly;macromolecule metabolic process;cellular component biogenesis;cellular metabolic process;primary metabolic process;organic substance metabolic process;cellular component organization or biogenesis;organonitrogen compound metabolic process;binding;ion binding;cation binding;metal ion binding;transition metal ion binding
2607585127,2607585127,MBS9772209.1,GO:0006364;GO:0003723;GO:0004540;GO:0005737;GO:0006139;GO:0006396;GO:0006725;GO:0006807;GO:0008152;GO:0009987;GO:0010467;GO:0016070;GO:0016072;GO:0022613;GO:0034470;GO:0034641;GO:0034660;GO:0042254;GO:0043170;GO:0044085;GO:0044237;GO:0044238;GO:0046483;GO:0071704;GO:0071840;GO:0090304;GO:1901360;GO:0003676;GO:0003824;GO:0004518;GO:0016787;GO:0016788;GO:0140098;GO:0140640;GO:0005622;GO:0110165,"rRNA processing;RNA binding;ribonuclease activity;cytoplasm;nucleobase-containing compound metabolic process;RNA processing;cellular aromatic compound metabolic process;nitrogen compound metabolic process;metabolic process;cellular process;gene expression;RNA metabolic process;rRNA metabolic process;ribonucleoprotein complex biogenesis;ncRNA processing;cellular nitrogen compound metabolic process;ncRNA metabolic process;ribosome biogenesis;macromolecule metabolic process;cellular component biogenesis;cellular metabolic process;primary metabolic process;heterocycle metabolic process;organic substance metabolic process;cellular component organization or biogenesis;nucleic acid metabolic process;organic cyclic compound metabolic process;nucleic acid binding;catalytic activity;nuclease activity;hydrolase activity;hydrolase activity, acting on ester bonds;catalytic activity, acting on Rcatalytic activity, acting on a nucleic acid;intracellular anatomical structure;cellular anatomical entity"
2607585130,2607585130,MBS9772207.1,GO:0003824;GO:0051536,catalytic activity;iron-sulfur cluster binding
2607585139,2607585139,MBS9772199.1,GO:0000976;GO:0001217;GO:0032993;GO:0001067;GO:0003676;GO:0003677;GO:0003690;GO:0003700;GO:0005488;GO:0043565;GO:0097159;GO:0140110;GO:1901363;GO:1990837;GO:0032991,transcription cis-regulatory region binding;DNA-binding transcription repressor activity;protein-DNA complex;transcription regulatory region nucleic acid binding;nucleic acid binding;DNA binding;double-stranded DNA binding;DNA-binding transcription factor activity;binding;sequence-specific DNA binding;organic cyclic compound binding;transcription regulator activity;heterocyclic compound binding;sequence-specific double-stranded DNA binding;protein-containing complex
2607585145,2607585145,MBS9772195.1,GO:0002098;GO:0030488;GO:0005525;GO:0005737;GO:0001510;GO:0006139;GO:0006396;GO:0006399;GO:0006400;GO:0006725;GO:0006807;GO:0008033;GO:0008152;GO:0009451;GO:0009987;GO:0010467;GO:0016070;GO:0032259;GO:0034470;GO:0034641;GO:0034660;GO:0043170;GO:0043412;GO:0043414;GO:0044237;GO:0044238;GO:0044260;GO:0046483;GO:0071704;GO:0090304;GO:1901360;GO:0005622;GO:0110165,tRNA wobble uridine modification;tRNA methylation;GTP binding;cytoplasm;RNA methylation;nucleobase-containing compound metabolic process;RNA processing;tRNA metabolic process;tRNA modification;cellular aromatic compound metabolic process;nitrogen compound metabolic process;tRNA processing;metabolic process;RNA modification;cellular process;gene expression;RNA metabolic process;methylation;ncRNA processing;cellular nitrogen compound metabolic process;ncRNA metabolic process;macromolecule metabolic process;macromolecule modification;macromolecule methylation;cellular metabolic process;primary metabolic process;cellular macromolecule metabolic process;heterocycle metabolic process;organic substance metabolic process;nucleic acid metabolic process;organic cyclic compound metabolic process;intracellular anatomical structure;cellular anatomical entity
2607585146,2607585146,MBS9772194.1,GO:0055085;GO:0008381,transmembrane transport;mechanosensitive monoatomic ion channel activity
2607585149,2607585149,MBS9772191.1,GO:0005515,protein binding
