id,gene_id,gene_name,KO
2641943601,K00231,protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15],K00231
2641943624,K02108,F-type H+-transporting ATPase subunit a,K02108
2641943625,K02110,F-type H+-transporting ATPase subunit c,K02110
2641943626,K02109,F-type H+-transporting ATPase subunit b,K02109
2641943627,K02109,F-type H+-transporting ATPase subunit b,K02109
2641943628,K02113,F-type H+-transporting ATPase subunit delta,K02113
2641943629,K02111,F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1],K02111
2641943631,K02115,F-type H+-transporting ATPase subunit gamma,K02115
2641943636,K14645,serine protease [EC:3.4.21.-],K14645
2641943638,K09835,prolycopene isomerase [EC:5.2.1.13],K09835
2641943639,K00761,uracil phosphoribosyltransferase [EC:2.4.2.9],K00761
2641943641,K02221,YggT family protein,K02221
2641943643,K00014,shikimate dehydrogenase [EC:1.1.1.25],K00014
2641943650,K07052,CAAX protease family protein,K07052
2641943651,K22305,phosphoserine phosphatase [EC:3.1.3.3],K22305
2641943653,K01465,dihydroorotase [EC:3.5.2.3],K01465
2641943654,K03100,signal peptidase I [EC:3.4.21.89],K03100
2641943655,K01465,dihydroorotase [EC:3.5.2.3],K01465
2641943659,K00986,RNA-directed DNA polymerase [EC:2.7.7.49],K00986
2641943662,K01358,"ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]",K01358
2641943663,K10532,heparan-alpha-glucosaminide N-acetyltransferase [EC:2.3.1.78],K10532
2641943668,K03526,(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3],K03526
2641943674,K03797,carboxyl-terminal processing protease [EC:3.4.21.102],K03797
2641943676,K01923,phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6],K01923
2641943683,K01076,abhydrolase domain-containing protein 17 [EC:3.1.2.22],K01076
2641943684,K02437,glycine cleavage system H protein,K02437
2641943686,K00281,glycine dehydrogenase [EC:1.4.4.2],K00281
2641943689,K01658,anthranilate synthase component II [EC:4.1.3.27],K01658
2641943695,K01406,serralysin [EC:3.4.24.40],K01406
2641943697,K03101,signal peptidase II [EC:3.4.23.36],K03101
2641943698,K03523,biotin transport system substrate-specific component,K03523
2641943699,K01012,biotin synthase [EC:2.8.1.6],K01012
2641943700,K02040,phosphate transport system substrate-binding protein,K02040
2641943701,K02040,phosphate transport system substrate-binding protein,K02040
2641943702,K02040,phosphate transport system substrate-binding protein,K02040
2641943703,K02037,phosphate transport system permease protein,K02037
2641943704,K02038,phosphate transport system permease protein,K02038
2641943705,K02036,phosphate transport system ATP-binding protein [EC:7.3.2.1],K02036
2641943709,K00392,sulfite reductase (ferredoxin) [EC:1.8.7.1],K00392
2641943710,K09761,16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193],K09761
2641943713,K01046,triacylglycerol lipase [EC:3.1.1.3],K01046
2641943715,K07080,uncharacterized protein,K07080
2641943726,K05540,tRNA-dihydrouridine synthase B [EC:1.-.-.-],K05540
2641943729,K00974,tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-],K00974
2641943734,K07496,putative transposase,K07496
2641943736,K09989,uncharacterized protein,K09989
2641943739,K01243,adenosylhomocysteine nucleosidase [EC:3.2.2.9],K01243
2641943743,K00794,"6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]",K00794
2641943745,K23054,sn-1 stearoyl-lipid 9-desaturase [EC:1.14.19.28],K23054
2641943749,K06946,uncharacterized protein,K06946
2641943765,K02642,cytochrome b6-f complex subunit 6,K02642
2641943766,K01735,3-dehydroquinate synthase [EC:4.2.3.4],K01735
2641943771,K06162,alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase [EC:3.6.1.63],K06162
2641943772,K05780,alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL [EC:2.7.8.37],K05780
2641943773,K05781,putative phosphonate transport system ATP-binding protein,K05781
2641943774,K06163,alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase [EC:4.7.1.1],K06163
2641943775,K06164,alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI [EC:2.7.8.37],K06164
2641943776,K06165,alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH [EC:2.7.8.37],K06165
2641943777,K06166,alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG [EC:2.7.8.37],K06166
2641943778,K02042,phosphonate transport system permease protein,K02042
2641943779,K02042,phosphonate transport system permease protein,K02042
2641943780,K02041,phosphonate transport system ATP-binding protein [EC:7.3.2.2],K02041
2641943781,K02044,phosphonate transport system substrate-binding protein,K02044
2641943782,K22895,"renierapurpurin 18,18'-hydroxylase",K22895
2641943790,K00145,N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38],K00145
2641943791,K03594,bacterioferritin [EC:1.16.3.1],K03594
2641943797,K19221,cob(I)alamin adenosyltransferase [EC:2.5.1.17],K19221
2641943806,K22010,"two-component system, response regulator PdtaR",K22010
2641943810,K06118,UDP-sulfoquinovose synthase [EC:3.13.1.1],K06118
2641943811,K06119,sulfoquinovosyltransferase [EC:2.4.1.-],K06119
2641943813,K01768,adenylate cyclase [EC:4.6.1.1],K01768
2641943815,K01265,methionyl aminopeptidase [EC:3.4.11.18],K01265
2641943822,K18189,translational activator of cytochrome c oxidase 1,K18189
2641943826,K11312,cupin 2 domain-containing protein,K11312
2641943835,K01406,serralysin [EC:3.4.24.40],K01406
2641943839,K23269,phosphoribosylformylglycinamidine synthase subunit PurL [EC:6.3.5.3],K23269
2641943843,K00128,aldehyde dehydrogenase (NAD+) [EC:1.2.1.3],K00128
2641943845,K07336,PKHD-type hydroxylase [EC:1.14.11.-],K07336
2641943846,K07336,PKHD-type hydroxylase [EC:1.14.11.-],K07336
2641943848,K01005,polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase [EC:2.7.8.-],K01005
2641943850,K01783,ribulose-phosphate 3-epimerase [EC:5.1.3.1],K01783
2641943868,K07259,serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-],K07259
2641943869,K01406,serralysin [EC:3.4.24.40],K01406
2641943870,K01406,serralysin [EC:3.4.24.40],K01406
2641943871,K07462,single-stranded-DNA-specific exonuclease [EC:3.1.-.-],K07462
2641943873,K02482,"two-component system, NtrC family, sensor kinase [EC:2.7.13.3]",K02482
2641943876,K03820,apolipoprotein N-acyltransferase [EC:2.3.1.269],K03820
2641943877,K02469,DNA gyrase subunit A [EC:5.6.2.2],K02469
2641943880,K00457,4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27],K00457
2641943883,K01185,lysozyme [EC:3.2.1.17],K01185
2641943887,K01185,lysozyme [EC:3.2.1.17],K01185
2641943888,K03474,pyridoxine 5-phosphate synthase [EC:2.6.99.2],K03474
2641943892,K09775,uncharacterized protein,K09775
2641943893,K13789,"geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]",K13789
2641943898,K01756,adenylosuccinate lyase [EC:4.3.2.2],K01756
2641943904,K00789,S-adenosylmethionine synthetase [EC:2.5.1.6],K00789
2641943910,K01585,arginine decarboxylase [EC:4.1.1.19],K01585
2641943913,K03320,"ammonium transporter, Amt family",K03320
2641943914,K03320,"ammonium transporter, Amt family",K03320
2641943915,K01588,5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18],K01588
2641943916,K01443,N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25],K01443
2641943923,K00720,ceramide glucosyltransferase [EC:2.4.1.80],K00720
2641943926,K09817,zinc transport system ATP-binding protein [EC:7.2.2.20],K09817
2641943927,K09815,zinc transport system substrate-binding protein,K09815
2641943929,K01625,2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42],K01625
2641943932,K09667,protein O-GlcNAc transferase [EC:2.4.1.255],K09667
2641943935,K06169,tRNA 2-(methylsulfanyl)-N6-isopentenyladenosine37 hydroxylase [EC:1.14.99.69],K06169
2641943936,K03588,cell division protein FtsW,K03588
2641943937,K01406,serralysin [EC:3.4.24.40],K01406
2641943939,K10697,"two-component system, OmpR family, response regulator RpaA",K10697
2641943949,K06137,pyrroloquinoline-quinone synthase [EC:1.3.3.11],K06137
2641943958,K09879,carotenoid phi-ring synthase / carotenoid chi-ring synthase [EC:1.3.99.39 1.3.99.40],K09879
2641943960,K22895,"renierapurpurin 18,18'-hydroxylase",K22895
2641943973,K07978,GntR family transcriptional regulator,K07978
2641943974,K01061,carboxymethylenebutenolidase [EC:3.1.1.45],K01061
2641943976,K02945,small subunit ribosomal protein S1,K02945
2641943978,K00884,N-acetylglucosamine kinase [EC:2.7.1.59],K00884
2641943983,K01126,glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46],K01126
2641943985,K09989,uncharacterized protein,K09989
2641943990,K02355,elongation factor G,K02355
2641943992,K07263,zinc protease [EC:3.4.24.-],K07263
2641943993,K07263,zinc protease [EC:3.4.24.-],K07263
2641943996,K01406,serralysin [EC:3.4.24.40],K01406
2641944004,K08994,ion channel-forming bestrophin family protein,K08994
2641944009,K02535,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108],K02535
2641944010,K02372,3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59],K02372
2641944011,K00677,UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129],K00677
2641944014,K00748,lipid-A-disaccharide synthase [EC:2.4.1.182],K00748
2641944017,K13542,uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],K13542
2641944027,K07114,Ca-activated chloride channel homolog,K07114
2641944030,K20074,PPM family protein phosphatase [EC:3.1.3.16],K20074
2641944035,K03466,"DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family",K03466
2641944039,K07492,putative transposase,K07492
2641944042,K15523,protein-ribulosamine 3-kinase [EC:2.7.1.172],K15523
2641944055,K07480,insertion element IS1 protein InsB,K07480
2641944064,K11520,"two-component system, OmpR family, manganese sensing sensor histidine kinase [EC:2.7.13.3]",K11520
2641944066,K00464,"all-trans-8'-apo-beta-carotenal 15,15'-oxygenase [EC:1.13.11.75]",K00464
2641944077,K02698,photosystem I subunit X,K02698
2641944083,K14393,cation/acetate symporter,K14393
2641944084,K01174,micrococcal nuclease [EC:3.1.31.1],K01174
2641944091,K22369,epoxide hydrolase 4 [EC:3.3.-.-],K22369
2641944092,K03553,recombination protein RecA,K03553
2641944096,K01991,polysaccharide biosynthesis/export protein,K01991
2641944102,K03688,ubiquinone biosynthesis protein,K03688
2641944107,K01875,seryl-tRNA synthetase [EC:6.1.1.11],K01875
2641944113,K04771,serine protease Do [EC:3.4.21.107],K04771
2641944114,K21600,"CsoR family transcriptional regulator, copper-sensing transcriptional repressor",K21600
2641944119,K19003,"1,2-diacylglycerol 3-beta-glucosyltransferase [EC:2.4.1.336]",K19003
2641944121,K01902,succinyl-CoA synthetase alpha subunit [EC:6.2.1.5],K01902
2641944129,K03629,DNA replication and repair protein RecF,K03629
2641944133,K05895,precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106],K05895
2641944134,K11755,phosphoribosyl-AMP cyclohydrolase / phosphoribosyl-ATP pyrophosphohydrolase [EC:3.5.4.19 3.6.1.31],K11755
2641944135,K01845,"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",K01845
2641944139,K09767,cyclic-di-GMP-binding protein,K09767
2641944143,K06873,uncharacterized protein,K06873
2641944152,K09667,protein O-GlcNAc transferase [EC:2.4.1.255],K09667
2641944159,K09568,FK506-binding protein 1 [EC:5.2.1.8],K09568
2641944162,K07769,"two-component system, OmpR family, sensor histidine kinase NblS [EC:2.7.13.3]",K07769
2641944163,K01945,phosphoribosylamine---glycine ligase [EC:6.3.4.13],K01945
2641944165,K01589,5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18],K01589
2641944168,K08997,protein adenylyltransferase [EC:2.7.7.108],K08997
2641944170,K24411,oxazoline/thiazoline synthase [EC:6.2.2.2 6.2.2.3],K24411
2641944172,K07746,antitoxin ParD1/3/4,K07746
2641944173,K05897,oxazoline/thiazoline dehydrogenase [EC:1.3.3.16],K05897
2641944174,K07491,REP-associated tyrosine transposase,K07491
2641944178,K07496,putative transposase,K07496
2641944182,K04567,"lysyl-tRNA synthetase, class II [EC:6.1.1.6]",K04567
2641944190,K01895,acetyl-CoA synthetase [EC:6.2.1.1],K01895
2641944194,K02005,HlyD family secretion protein,K02005
2641944196,K06946,uncharacterized protein,K06946
2641944202,K07496,putative transposase,K07496
2641944204,K09667,protein O-GlcNAc transferase [EC:2.4.1.255],K09667
2641944205,K02650,type IV pilus assembly protein PilA,K02650
2641944209,K23975,L-aspartate semialdehyde sulfurtransferase [EC:2.8.1.16],K23975
2641944212,K06929,uncharacterized protein,K06929
2641944215,K11517,(S)-2-hydroxy-acid oxidase [EC:1.1.3.15],K11517
2641944215,K16422,4-hydroxymandelate oxidase [EC:1.1.3.46],K16422
2641944217,K01423,beta-barrel assembly-enhancing protease [EC:3.4.-.-],K01423
2641944218,K01791,UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14],K01791
2641944221,K06181,23S rRNA pseudouridine2457 synthase [EC:5.4.99.20],K06181
2641944224,K03797,carboxyl-terminal processing protease [EC:3.4.21.102],K03797
2641944225,K03818,putative colanic acid biosynthesis acetyltransferase WcaF [EC:2.3.1.-],K03818
2641944228,K03671,thioredoxin 1,K03671
2641944229,K00059,3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],K00059
2641944230,K06987,uncharacterized protein,K06987
2641944232,K01873,valyl-tRNA synthetase [EC:6.1.1.9],K01873
2641944239,K13821,"RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]",K13821
2641944241,K25155,viologen exporter family transport system permease protein,K25155
2641944243,K19032,30S ribosomal protein 3,K19032
2641944244,K11777,HAD superfamily phosphatase,K11777
2641944246,K03699,"magnesium and cobalt exporter, CNNM family",K03699
2641944250,K18159,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 1,K18159
2641944251,K01406,serralysin [EC:3.4.24.40],K01406
2641944258,K23095,demethylphylloquinol methyltransferase [EC:2.1.1.329],K23095
2641944261,K06883,uncharacterized protein,K06883
2641944264,K06442,23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase [EC:2.1.1.226 2.1.1.227],K06442
2641944265,K02097,phycobilisome core component,K02097
2641944266,K01915,glutamine synthetase [EC:6.3.1.2],K01915
2641944271,K03688,ubiquinone biosynthesis protein,K03688
2641944274,K00485,dimethylaniline monooxygenase (N-oxide forming) / hypotaurine monooxygenase [EC:1.14.13.8 1.8.1.-],K00485
2641944301,K01551,arsenite/tail-anchored protein-transporting ATPase [EC:7.3.2.7 7.3.-.-],K01551
2641944307,K06213,magnesium transporter,K06213
2641944308,K23994,"solute carrier family 9B (sodium/hydrogen exchanger), member 1/2",K23994
2641944309,K01876,aspartyl-tRNA synthetase [EC:6.1.1.12],K01876
2641944320,K02224,"cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]",K02224
2641944321,K18277,trimethylamine monooxygenase [EC:1.14.13.148],K18277
2641944323,K02705,photosystem II CP43 chlorophyll apoprotein,K02705
2641944329,K07090,uncharacterized protein,K07090
2641944335,K09667,protein O-GlcNAc transferase [EC:2.4.1.255],K09667
2641944337,K03798,cell division protease FtsH [EC:3.4.24.-],K03798
2641944345,K07147,methionine sulfoxide reductase catalytic subunit [EC:1.8.-.-],K07147
2641944362,K01255,leucyl aminopeptidase [EC:3.4.11.1],K01255
2641944364,K00031,isocitrate dehydrogenase [EC:1.1.1.42],K00031
2641944370,K01000,phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13],K01000
2641944374,K01768,adenylate cyclase [EC:4.6.1.1],K01768
2641944375,K09138,uncharacterized protein,K09138
2641944381,K02435,aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7],K02435
2641944400,K00161,pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1],K00161
2641944403,K03086,RNA polymerase primary sigma factor,K03086
2641944415,K02040,phosphate transport system substrate-binding protein,K02040
2641944418,K03802,cyanophycin synthetase [EC:6.3.2.29 6.3.2.30],K03802
2641944419,K13282,cyanophycinase [EC:3.4.15.6],K13282
2641944420,K00554,tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228],K00554
2641944423,K03711,"Fur family transcriptional regulator, ferric uptake regulator",K03711
2641944426,K03644,lipoyl synthase [EC:2.8.1.8],K03644
2641944428,K23265,phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase [EC:6.3.5.3 3.5.1.2],K23265
2641944429,K23264,phosphoribosylformylglycinamidine synthase subunit PurS [EC:6.3.5.3],K23264
2641944432,K07340,inner membrane protein,K07340
2641944440,K25154,viologen exporter family transport system permease protein,K25154
2641944445,K01406,serralysin [EC:3.4.24.40],K01406
2641944447,K16149,"1,4-alpha-glucan branching enzyme [EC:2.4.1.18]",K16149
2641944449,K00620,glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1],K00620
2641944452,K16566,exopolysaccharide production protein ExoY,K16566
2641944453,K03208,putative colanic acid biosynthesis glycosyltransferase WcaI,K03208
2641944457,K09013,Fe-S cluster assembly ATP-binding protein,K09013
2641944458,K09015,Fe-S cluster assembly protein SufD,K09015
2641944465,K00858,NAD+ kinase [EC:2.7.1.23],K00858
2641944466,K00604,methionyl-tRNA formyltransferase [EC:2.1.2.9],K00604
2641944470,K02500,imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10],K02500
2641944475,K14605,lycopene cyclase CruA [EC:5.5.1.19],K14605
2641944483,K16710,colanic acid/amylovoran biosynthesis protein WcaK/AmsJ,K16710
2641944485,K06949,ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100],K06949
2641944486,K04085,tRNA 2-thiouridine synthesizing protein A [EC:2.8.1.-],K04085
2641944487,K03686,molecular chaperone DnaJ,K03686
2641944491,K03687,molecular chaperone GrpE,K03687
2641944494,K02669,twitching motility protein PilT,K02669
2641944498,K20024,monoglucosyldiacylglycerol epimerase [EC:5.1.3.34],K20024
2641944499,K02945,small subunit ribosomal protein S1,K02945
